seed,step,row_space_rotation,update_norm,actual_full_response_cost,actual_heldout_auc,current_kernel_heldout_auc,source_kernel_heldout_auc,far_time_kernel_heldout_auc,permuted_kernel_heldout_auc,current_minus_actual_auc,current_minus_source_kernel_auc,current_minus_far_time_kernel_auc,current_minus_permuted_kernel_auc
85744,24,0.3586049235507376,0.027085918933153152,0.031001438340646253,-4.807415097745564e-05,0.0006592279028352355,0.0005891730544402315,0.000570305420017517,-5.149550431212309e-05,0.0007073020538126911,7.005484839500394e-05,8.892248281771849e-05,0.0007107234071473586
85744,28,0.3437245229447022,0.02892974391579628,0.039897099189345586,0.0001409678950687702,0.0008297621399194766,0.0007492731538719377,0.000714642020867906,0.00013785249618557415,0.0006887942448507064,8.048898604753885e-05,0.0001151201190515706,0.0006919096437339024
85745,0,4.2146848510894035e-08,0.0692480206489563,0.19380998707691777,0.001515584474164259,0.004703160496534519,0.004703160496534519,0.0037993668881067372,0.0015131694885671457,0.00318757602237026,0.0,0.0009037936084277816,0.003189991007967373
85745,4,0.3544048247406301,0.036707744002342224,0.08558078298688179,0.0,0.001778231772308847,0.0015939455683695435,0.0017691131919737033,0.0,0.001778231772308847,0.00018428620393930346,9.118580335143673e-06,0.001778231772308847
85745,8,0.44069744391205,0.033656470477581024,0.0677247155020829,0.0,0.0009309240315940047,0.0008909415520408728,0.0009097997634689342,0.0,0.0009309240315940047,3.9982479553131943e-05,2.112426812507051e-05,0.0009309240315940047
85745,12,0.39453528563255397,0.031701281666755676,0.043494693081080754,0.00012583347515288421,0.001130158059747366,0.0009935204555080888,0.0009928766626116112,0.0001223468102983269,0.0010043245845944818,0.0001366376042392771,0.00013728139713575479,0.001007811249449039
85745,16,0.35432477697913745,0.03071850724518299,0.027231131709008292,0.00010934165761326984,0.0010472976799787979,0.0008906978359593531,0.0008906978359593531,0.00011042256920149348,0.000937956022365528,0.00015659984401944472,0.00015659984401944472,0.0009368751107773044
85745,20,0.33011089006497746,0.03066626749932766,0.043601099460515026,9.153353718068122e-05,0.0007902721130579325,0.0006979828332099591,0.0007284818937154566,8.821202242630882e-05,0.0006987385758772513,9.228927984797342e-05,6.179021934247598e-05,0.0007020600906316237
85745,24,0.32960429679485687,0.03186524286866188,0.05587934639243175,-1.129174971251707e-05,0.00028182281335431547,0.00027072400037627303,0.00027969914708845617,-6.897581575666791e-06,0.00029311456306683255,1.1098812978042438e-05,2.1236662658593035e-06,0.0002887203949299823
85745,28,0.33257662639938484,0.03104512393474579,0.049861995542780695,3.821592151663037e-05,0.00036793195221240804,0.0003456616070516406,0.0003731766820073146,3.8346571956701966e-05,0.00032971603069577765,2.2270345160767442e-05,-5.244729794906533e-06,0.00032958538025570607
